Date,IP,PROTAC,WARHEAD,LINKER,LIGASE
2026-01-15_14-04-25,127.0.0.1,COC(=O)N[C@H](C(=O)NN(CC1=CC=C(C2=CC=CC=N2)C=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)NC(=O)C1C=CC(NS(=O)(=O)C2=CC=C(CN)C=C2)=C2N=CC(C#N)=C21)C(C)(C)C)C(C)(C)C,[1*]C(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,[1*]NC([2*])=O,[2*]C1C=CC(NS(=O)(=O)C2=CC=C(CN)C=C2)=C2N=CC(C#N)=C21
2026-01-15_14-13-09,127.0.0.1,COC(=O)N[C@H](C(=O)NN(CC1=CC=C(C2=CC=CC=N2)C=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)NC(=O)C1C=CC(NS(=O)(=O)C2=CC=C(CN)C=C2)=C2N=CC(C#N)=C21)C(C)(C)C)C(C)(C)C,[1*]C(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,[1*]NC([2*])=O,[2*]C1C=CC(NS(=O)(=O)C2=CC=C(CN)C=C2)=C2N=CC(C#N)=C21
2026-01-15_14-16-06,127.0.0.1,N#CC1=C2C(=C(NS(=O)(=O)C3=CC=C(CN)C=C3)C=CC2C(=O)NC2=NC3=C(C=CC=C3Cl)S2)N=C1,[1*]NC1=NC2=C(C=CC=C2Cl)S1,[1*]C([2*])=O,[2*]C1C=CC(NS(=O)(=O)C2=CC=C(CN)C=C2)=C2N=CC(C#N)=C21
2026-01-15_14-17-31,127.0.0.1,N#CC1=C2C(=C(NS(=O)(=O)C3=CC=C(CN)C=C3)C=CC2C(=O)NC2=C3N=CN(CCO[C@H](CP(=O)(O)O)C(=O)O)C3=NC=N2)N=C1,[1*]C1=C2N=CN(CCO[C@H](CP(=O)(O)O)C(=O)O)C2=NC=N1,[1*]NC([2*])=O,[2*]C1C=CC(NS(=O)(=O)C2=CC=C(CN)C=C2)=C2N=CC(C#N)=C21
2026-01-15_14-22-01,127.0.0.1,N#CC1=C2C(=C(NS(=O)(=O)C3=CC=C(CN)C=C3)C=CC2NC(=O)OCCCCCOC2=CC=C(C[C@H](N)C(=O)O)C=C2)N=C1,[1*]OCCCCCOC1=CC=C(C[C@H](N)C(=O)O)C=C1,[1*]C(=O)N[2*],[2*]C1C=CC(NS(=O)(=O)C2=CC=C(CN)C=C2)=C2N=CC(C#N)=C21
2026-01-15_14-29-44,127.0.0.1,COC1=CC=C(Br)C(OC(=O)NC2C=CC(NS(=O)(=O)C3=CC=C(CN)C=C3)=C3N=CC(C#N)=C32)=C1C(=O)O,[1*]OC1=C(C(=O)O)C(OC)=CC=C1Br,[1*]C(=O)N[2*],[2*]C1C=CC(NS(=O)(=O)C2=CC=C(CN)C=C2)=C2N=CC(C#N)=C21
2026-01-15_14-32-37,127.0.0.1,N#CC1=C2C(=C(NS(=O)(=O)C3=CC=C(CN)C=C3)C=CC2CC#COC2=CC=C(S(=O)(=O)N(C[C@H]3CCC(=O)N3)C[C@@H](O)[C@H](CC3=CC=CC=C3)NC(=O)O[C@@H]3C[C@@H]4CCO[C@@H]4C3)C=C2)N=C1,[1*]OC1=CC=C(S(=O)(=O)N(C[C@H]2CCC(=O)N2)C[C@@H](O)[C@H](CC2=CC=CC=C2)NC(=O)O[C@@H]2C[C@@H]3CCO[C@@H]3C2)C=C1,[1*]C#CC[2*],[2*]C1C=CC(NS(=O)(=O)C2=CC=C(CN)C=C2)=C2N=CC(C#N)=C21
2026-01-16_13-43-32,127.0.0.1,CC(C)[C@H](NC(=O)COC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)C(NC(=O)CC1CCN(C2=CC3=C(C=C2)C(=O)N([C@H]2CCC(=O)NC2=O)C3=O)CC1)[C@H](O)CC1=CC=CC=C1,[1*][C@@H]([C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)COC1=CC=CC=C1)C(C)C)[C@H](O)CC1=CC=CC=C1,[1*]NC(=O)C[2*],[2*]C1CCN(C2=CC3=C(C=C2)C(=O)N([C@H]2CCC(=O)NC2=O)C3=O)CC1
2026-01-26_20-54-27,127.0.0.1,COC1=CC=C(Br)C(OC)=C1C(=O)N1CC2(CN(CN3CCCC[C@@H]3[C@@H](C)OC3=CC=C4C(=O)N([C@H]5CCC(=O)NC5=O)CC4=C3)C2)C1,[1*]C(=O)C1=C(OC)C(Br)=CC=C1OC,[1*]N1CC2(C1)CN([2*])C2,[2*]CN1CCCC[C@@H]1[C@@H](C)OC1=CC=C2C(=O)N([C@H]3CCC(=O)NC3=O)CC2=C1
2026-01-28_17-36-31,127.0.0.1,CC(C)OC1=CC(OC2CN(CC3CN(C(C)CN(C[C@@H](O)[C@H](CC4=CC=CC=C4)NC(=O)O[C@H]4CO[C@H]5OCC[C@H]54)S(=O)(=O)C4=CC=C5OCOC5=C4)C3)C2)=CC=C1[C@H]1N[C@@H](C2=CC=C(Cl)C=C2)[C@@H](C2=CC=C(Cl)C=C2)N1C(=O)N1CCNC(=O)C1,[1*]C(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)C1=CC=C2OCOC2=C1,[1*]N1CC(CN2CC([2*])C2)C1,[2*]OC1=CC=C([C@H]2N[C@@H](C3=CC=C(Cl)C=C3)[C@@H](C3=CC=C(Cl)C=C3)N2C(=O)N2CCNC(=O)C2)C(OC(C)C)=C1
2026-02-10_14-19-04,127.0.0.1,CC1=CC(NC2=NC=NC3=CC=C(NC4=NC(C)(CC#CCC(=O)N5CCC[C@H]([C@]6(CC7=CC(Cl)=CC=C7)C(=O)NC7=CC(Cl)=CC=C76)C5)CO4)C=C32)=CC=C1OC1=CC2=NC=NN2C=C1,[1*]C1(C)COC(NC2=CC=C3N=CN=C(NC4=CC=C(OC5=CC6=NC=NN6C=C5)C(C)=C4)C3=C2)=N1,[1*]CC#C[2*],[2*]CC(=O)N1CCC[C@H]([C@]2(CC3=CC(Cl)=CC=C3)C(=O)NC3=CC(Cl)=CC=C32)C1
2026-02-10_16-07-12,127.0.0.1,CC1=CC(NC2=NC=NC3=CC=C(NC4=NC(C)(C)CO4)C=C32)=CC=C1OC1=CC2=NC(CCCCCCCCCCCCC(C)(C)C[C@@H]3N[C@@H](C(=O)NC4=CC=C(C(N)=O)C=C4)[C@H](C4=CC=CC(Cl)=C4F)[C@]34C(=O)NC3=C4C=CC(Cl)=C3)=NN2C=C1,[1*]CC1=NN2C=CC(OC3=CC=C(NC4=NC=NC5=CC=C(NC6=NC(C)(C)CO6)C=C54)C=C3C)=CC2=N1,[1*]CCCCCCCCCCC[2*],[2*]C(C)(C)C[C@@H]1N[C@@H](C(=O)NC2=CC=C(C(N)=O)C=C2)[C@H](C2=CC=CC(Cl)=C2F)[C@]12C(=O)NC1=C2C=CC(Cl)=C1
2026-02-10_16-22-12,127.0.0.1,CC1(C)COC(NC2=CC=C3N=CN=C(NC4=CC=C(OC5=CC6=NC=NN6C=C5)C(CCCCNC5=CC=CC6=C5C(=O)N([C@H]5CCC(=O)NC5=O)C6=O)=C4)C3=C2)=N1,[1*]CC1=CC(NC2=NC=NC3=CC=C(NC4=NC(C)(C)CO4)C=C32)=CC=C1OC1=CC2=NC=NN2C=C1,[1*]CCC[2*],[2*]NC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
2026-02-10_16-24-30,127.0.0.1,CC1=CC(NC2=NC=NC3=CC=C(NC4=NC(C)(CCCNC5=CC=CC6=C5C(=O)N([C@H]5CCC(=O)NC5=O)C6=O)CO4)C=C32)=CC=C1OC1=CC2=NC=NN2C=C1,[1*]C1(C)COC(NC2=CC=C3N=CN=C(NC4=CC=C(OC5=CC6=NC=NN6C=C5)C(C)=C4)C3=C2)=N1,[1*]CCC[2*],[2*]NC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
2026-02-10_16-41-44,127.0.0.1,CC1=CC(NC2=NC=NC3=CC=C(NC4=NC(C)(CCCNC5=CC=CC6=C5C(=O)N([C@H]5CCC(=O)NC5=O)C6=O)CO4)C=C32)=CC=C1OC1=CC2=NC=NN2C=C1,[1*]C1(C)COC(NC2=CC=C3N=CN=C(NC4=CC=C(OC5=CC6=NC=NN6C=C5)C(C)=C4)C3=C2)=N1,[1*]CCC[2*],[2*]NC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
2026-02-10_16-58-25,127.0.0.1,CC1=CC(NC2=NC=NC3=CC=C(NC4=NC(C)(CCCC5=CC=CC6=C5C(=O)N([C@H]5CCC(=O)NC5=O)C6=O)CO4)C=C32)=CC=C1OC1=CC2=NC=NN2C=C1,[1*]C1(C)COC(NC2=CC=C3N=CN=C(NC4=CC=C(OC5=CC6=NC=NN6C=C5)C(C)=C4)C3=C2)=N1,[1*]CCC[2*],[2*]C1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
2026-02-10_17-03-05,127.0.0.1,CC1=CC(NC2=NC=NC3=CC=C(NC4=NC(C)(CCCC5=CC=CC6=C5C(=O)N([C@H]5CCC(=O)NC5=O)C6=O)CO4)C=C32)=CC=C1OC1=CC2=NC=NN2C=C1,[1*]C1(C)COC(NC2=CC=C3N=CN=C(NC4=CC=C(OC5=CC6=NC=NN6C=C5)C(C)=C4)C3=C2)=N1,[1*]CCC[2*],[2*]C1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
2026-02-10_17-21-59,127.0.0.1,CC1=CC(NC2=NC=NC3=CC=C(NC4=NC(C)(CCCC5=CC=CC6=C5C(=O)N([C@H]5CCC(=O)NC5=O)C6=O)CO4)C=C32)=CC=C1OC1=CC2=NC=NN2C=C1,[1*]C1(C)COC(NC2=CC=C3N=CN=C(NC4=CC=C(OC5=CC6=NC=NN6C=C5)C(C)=C4)C3=C2)=N1,[1*]CCC[2*],[2*]C1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
2026-02-10_17-42-46,127.0.0.1,CC1=CC(NC2=C(C#N)C=NC3=C2C=C(NC(=O)/C=C/CN(C)C)C(OCCC2=CC=CC4=C2C(=O)N([C@H]2CCC(=O)NC2=O)C4=O)=C3)=CC=C1OC1=CC2=NC=NN2C=C1,[1*]COC1=CC2=C(C=C1NC(=O)/C=C/CN(C)C)C(NC1=CC=C(OC3=CC4=NC=NN4C=C3)C(C)=C1)=C(C#N)C=N2,[1*]C[2*],[2*]C1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
2026-02-10_18-15-59,127.0.0.1,CC1=CC(NC2=C(C#N)C=NC3=C2C=C(NC(=O)/C=C/CN(C)C)C(OCCC2=CC=CC4=C2C(=O)N([C@H]2CCC(=O)NC2=O)C4=O)=C3)=CC=C1OC1=CC2=NC=NN2C=C1,[1*]COC1=CC2=C(C=C1NC(=O)/C=C/CN(C)C)C(NC1=CC=C(OC3=CC4=NC=NN4C=C3)C(C)=C1)=C(C#N)C=N2,[1*]C[2*],[2*]C1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
2026-02-10_18-17-34,127.0.0.1,CC1=CC(NC2=C(C#N)C=NC3=C2C=C(NC(=O)/C=C/CN(C)C)C(OCCC2=CC=CC4=C2C(=O)N([C@H]2CCC(=O)NC2=O)C4=O)=C3)=CC=C1OC1=CC2=NC=NN2C=C1,[1*]COC1=CC2=C(C=C1NC(=O)/C=C/CN(C)C)C(NC1=CC=C(OC3=CC4=NC=NN4C=C3)C(C)=C1)=C(C#N)C=N2,[1*]C[2*],[2*]C1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
2026-02-10_18-18-07,127.0.0.1,CC1=CC(NC2=C(C#N)C=NC3=C2C=C(NC(=O)/C=C/CN(C)C)C(OCCC2=CC=CC4=C2C(=O)N([C@H]2CCC(=O)NC2=O)C4=O)=C3)=CC=C1OC1=CC2=NC=NN2C=C1,[1*]COC1=CC2=C(C=C1NC(=O)/C=C/CN(C)C)C(NC1=CC=C(OC3=CC4=NC=NN4C=C3)C(C)=C1)=C(C#N)C=N2,[1*]C[2*],[2*]C1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
2026-02-10_18-20-17,127.0.0.1,CC1=CC(NC2=C(C#N)C=NC3=C2C=C(NC(=O)/C=C/CN(C)C)C(OCCC2=CC=CC4=C2C(=O)N([C@H]2CCC(=O)NC2=O)C4=O)=C3)=CC=C1OC1=CC2=NC=NN2C=C1,[1*]COC1=CC2=C(C=C1NC(=O)/C=C/CN(C)C)C(NC1=CC=C(OC3=CC4=NC=NN4C=C3)C(C)=C1)=C(C#N)C=N2,[1*]C[2*],[2*]C1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
2026-02-10_18-21-23,127.0.0.1,COC(=O)N[C@H](C(=O)NN(CC1=CC=C(C2=CC=CC=N2)C=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)OCC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O)C(C)(C)C)C(C)(C)C,[1*]OC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,[1*]C[2*],[2*]C1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
2026-02-10_18-34-03,127.0.0.1,COC(=O)N[C@H](C(=O)NN(CC1=CC=C(C2=CC=CC=N2)C=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)OCC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O)C(C)(C)C)C(C)(C)C,[1*]OC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,[1*]C[2*],[2*]C1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
2026-02-10_18-50-40,127.0.0.1,COC(=O)N[C@H](C(=O)NN(CC1=CC=C(C2=CC=CC=N2)C=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)OCC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O)C(C)(C)C)C(C)(C)C,[1*]OC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,[1*]C[2*],[2*]C1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
2026-02-10_18-58-43,127.0.0.1,COC(=O)N[C@H](C(=O)NN(CC1=CC=C(C2=CC=CC=N2)C=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)OCC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O)C(C)(C)C)C(C)(C)C,[1*]OC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,[1*]C[2*],[2*]C1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
2026-02-10_19-00-40,127.0.0.1,COC(=O)N[C@H](C(=O)NN(CC1=CC=C(C2=CC=CC=N2)C=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)OCC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O)C(C)(C)C)C(C)(C)C,[1*]OC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,[1*]C[2*],[2*]C1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
2026-02-10_19-17-31,127.0.0.1,COC(=O)N[C@H](C(=O)NN(CC1=CC=C(C2=CC=CC=N2)C=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)OCC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O)C(C)(C)C)C(C)(C)C,[1*]OC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,[1*]C[2*],[2*]C1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
2026-02-10_19-47-42,127.0.0.1,COC(=O)N[C@H](C(=O)NN(CC1=CC=C(C2=CC=CC=N2)C=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)OCC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O)C(C)(C)C)C(C)(C)C,[1*]OC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,[1*]C[2*],[2*]C1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
2026-02-10_20-09-16,127.0.0.1,COC(=O)N[C@H](C(=O)NN(CC1=CC=C(C2=CC=CC=N2)C=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)OCC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O)C(C)(C)C)C(C)(C)C,[1*]OC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,[1*]C[2*],[2*]C1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
2026-02-10_20-15-42,127.0.0.1,COC(=O)N[C@H](C(=O)NN(CC1=CC=C(C2=CC=CC=N2)C=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)OCC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O)C(C)(C)C)C(C)(C)C,[1*]OC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,[1*]C[2*],[2*]C1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
2026-02-10_21-03-44,127.0.0.1,COC(=O)N[C@H](C(=O)NN(CC1=CC=C(C2=CC=CC=N2)C=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)OCC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O)C(C)(C)C)C(C)(C)C,[1*]OC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,[1*]C[2*],[2*]C1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
2026-02-10_21-05-33,127.0.0.1,COC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OCC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O)C(C)(C)C)C(C)(C)C,[1*]OC(=O)N[C@H](C(=O)NN(CC1=CC=C(C2=CC=CC=N2)C=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,[1*]C[2*],[2*]C1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
2026-02-10_21-06-10,127.0.0.1,COC(=O)N[C@H](C(=O)NN(CC1=CC=C(C2=CC=CC=N2)C=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)OCC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O)C(C)(C)C)C(C)(C)C,[1*]OC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,[1*]C[2*],[2*]C1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O
